size,psnr,ssim,loss,frame_id,nframes,model_id,video
9258.0,44.46408462524414,0.9869356155395508,0.0,0,0,64,segment_3n09ufoMWAg_1280x720.mp4
785.5854873657227,38.739097595214844,0.9832266569137573,0.0,1,0,64,segment_3n09ufoMWAg_1280x720.mp4
661.7773132324219,37.31466293334961,0.9786188006401062,0.0,2,0,64,segment_3n09ufoMWAg_1280x720.mp4
635.3129730224609,36.9666862487793,0.9754712581634521,0.0,3,0,64,segment_3n09ufoMWAg_1280x720.mp4
769.0350341796875,36.89255142211914,0.9722943305969238,0.0,4,0,64,segment_3n09ufoMWAg_1280x720.mp4
1079.4967651367188,36.467220306396484,0.9677728414535522,0.0,5,0,64,segment_3n09ufoMWAg_1280x720.mp4
1225.8768615722656,35.70499038696289,0.961171567440033,0.0,6,0,64,segment_3n09ufoMWAg_1280x720.mp4
1481.2881469726562,35.004058837890625,0.9501892328262329,0.0,7,0,64,segment_3n09ufoMWAg_1280x720.mp4
1950.8099670410156,34.37270736694336,0.942865252494812,0.0,8,0,64,segment_3n09ufoMWAg_1280x720.mp4
1724.6165161132812,34.37629318237305,0.9408504962921143,0.0,9,0,64,segment_3n09ufoMWAg_1280x720.mp4
2272.638702392578,34.46406936645508,0.9322400093078613,0.0,10,0,64,segment_3n09ufoMWAg_1280x720.mp4
2055.334991455078,34.36425018310547,0.927699089050293,0.0,11,0,64,segment_3n09ufoMWAg_1280x720.mp4
1888.9526672363281,33.856170654296875,0.9271222949028015,0.0,12,0,64,segment_3n09ufoMWAg_1280x720.mp4
1827.6620483398438,34.49313735961914,0.9276124238967896,0.0,13,0,64,segment_3n09ufoMWAg_1280x720.mp4
1618.3822631835938,33.92742919921875,0.9224507212638855,0.0,14,0,64,segment_3n09ufoMWAg_1280x720.mp4
1592.7125854492188,34.59699630737305,0.9236616492271423,0.0,15,0,64,segment_3n09ufoMWAg_1280x720.mp4
2237.3826599121094,34.08522033691406,0.9134876132011414,0.0,16,0,64,segment_3n09ufoMWAg_1280x720.mp4
