size,psnr,ssim,loss,frame_id,nframes,model_id,video
2194.0,42.348846435546875,0.9760947227478027,0.0,0,0,64,segment_4u4w4sFtNDQ_480x360.mp4
882.8353881835938,34.55879211425781,0.9468132257461548,0.0,1,0,64,segment_4u4w4sFtNDQ_480x360.mp4
912.9326095581055,34.340660095214844,0.9437974691390991,0.0,2,0,64,segment_4u4w4sFtNDQ_480x360.mp4
668.3542633056641,34.94645690917969,0.9472841024398804,0.0,3,0,64,segment_4u4w4sFtNDQ_480x360.mp4
949.3106689453125,32.11517333984375,0.9175612330436707,0.0,4,0,64,segment_4u4w4sFtNDQ_480x360.mp4
873.7295532226562,33.8393440246582,0.935694694519043,0.0,5,0,64,segment_4u4w4sFtNDQ_480x360.mp4
472.63764572143555,34.753074645996094,0.9518347978591919,0.0,6,0,64,segment_4u4w4sFtNDQ_480x360.mp4
618.7336196899414,34.43218994140625,0.951872706413269,0.0,7,0,64,segment_4u4w4sFtNDQ_480x360.mp4
568.0236625671387,33.83662033081055,0.9478716850280762,0.0,8,0,64,segment_4u4w4sFtNDQ_480x360.mp4
516.6621780395508,34.57392501831055,0.953311562538147,0.0,9,0,64,segment_4u4w4sFtNDQ_480x360.mp4
490.48107528686523,34.66062927246094,0.9555305242538452,0.0,10,0,64,segment_4u4w4sFtNDQ_480x360.mp4
417.8531036376953,34.11595153808594,0.9518488645553589,0.0,11,0,64,segment_4u4w4sFtNDQ_480x360.mp4
436.1775894165039,33.840938568115234,0.9467817544937134,0.0,12,0,64,segment_4u4w4sFtNDQ_480x360.mp4
761.0076370239258,34.668601989746094,0.9542252421379089,0.0,13,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1182.1582870483398,32.996925354003906,0.9297621250152588,0.0,14,0,64,segment_4u4w4sFtNDQ_480x360.mp4
736.4231033325195,33.87141036987305,0.9435447454452515,0.0,15,0,64,segment_4u4w4sFtNDQ_480x360.mp4
689.7592010498047,33.45186233520508,0.936717689037323,0.0,16,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1581.950454711914,29.251663208007812,0.8898918628692627,0.0,17,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1458.1785888671875,32.508670806884766,0.9249252676963806,0.0,18,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1235.7815246582031,31.401573181152344,0.9075596332550049,0.0,19,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1274.6611633300781,29.49648094177246,0.878690242767334,0.0,20,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1383.7599792480469,30.210636138916016,0.8789719343185425,0.0,21,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1017.0723266601562,30.851219177246094,0.8902920484542847,0.0,22,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1247.6707458496094,29.162195205688477,0.8648078441619873,0.0,23,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1587.0174407958984,27.409360885620117,0.8073140382766724,0.0,24,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1779.9543762207031,25.59326934814453,0.8058197498321533,0.0,25,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1834.5374145507812,27.584863662719727,0.8225696086883545,0.0,26,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1637.8260498046875,29.758880615234375,0.8597501516342163,0.0,27,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1712.0850982666016,28.96884536743164,0.8441939353942871,0.0,28,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1733.9216918945312,27.103927612304688,0.8194660544395447,0.0,29,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1599.825942993164,29.814746856689453,0.8515529036521912,0.0,30,0,64,segment_4u4w4sFtNDQ_480x360.mp4
975.1177215576172,31.158727645874023,0.8774258494377136,0.0,31,0,64,segment_4u4w4sFtNDQ_480x360.mp4
820.8516311645508,31.189163208007812,0.8969308733940125,0.0,32,0,64,segment_4u4w4sFtNDQ_480x360.mp4
953.6351470947266,31.08740997314453,0.895237147808075,0.0,33,0,64,segment_4u4w4sFtNDQ_480x360.mp4
2421.336929321289,26.90199089050293,0.8196525573730469,0.0,34,0,64,segment_4u4w4sFtNDQ_480x360.mp4
2128.2232055664062,25.02688217163086,0.7969789505004883,0.0,35,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1558.6764373779297,26.146831512451172,0.7982825040817261,0.0,36,0,64,segment_4u4w4sFtNDQ_480x360.mp4
2140.8274536132812,27.891353607177734,0.8431851267814636,0.0,37,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1934.5782318115234,28.335044860839844,0.8471865653991699,0.0,38,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1287.8104858398438,28.509815216064453,0.8571357131004333,0.0,39,0,64,segment_4u4w4sFtNDQ_480x360.mp4
939.9723434448242,29.655372619628906,0.8764718770980835,0.0,40,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1553.6171569824219,30.673667907714844,0.9019982218742371,0.0,41,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1395.8961639404297,31.171045303344727,0.9140442609786987,0.0,42,0,64,segment_4u4w4sFtNDQ_480x360.mp4
725.9349212646484,31.02313232421875,0.9228565692901611,0.0,43,0,64,segment_4u4w4sFtNDQ_480x360.mp4
854.1338958740234,30.256397247314453,0.9177279472351074,0.0,44,0,64,segment_4u4w4sFtNDQ_480x360.mp4
1229.751724243164,31.076278686523438,0.9264907240867615,0.0,45,0,64,segment_4u4w4sFtNDQ_480x360.mp4
